Datetime,Open,High,Low,Close,Adj Close,Volume,Symbol
2023-05-13 00:00:00+00:00,26807.76953125,26810.37109375,26801.0234375,26801.0234375,26801.0234375,0,BTC-USD
2023-05-13 00:05:00+00:00,26789.650390625,26808.4765625,26789.650390625,26808.197265625,26808.197265625,0,BTC-USD
2023-05-13 00:10:00+00:00,26802.44921875,26802.44921875,26761.4296875,26766.03125,26766.03125,6182912,BTC-USD
2023-05-13 00:15:00+00:00,26766.490234375,26773.099609375,26754.14453125,26754.14453125,26754.14453125,5281792,BTC-USD
2023-05-13 00:20:00+00:00,26751.89453125,26757.552734375,26746.30078125,26754.509765625,26754.509765625,0,BTC-USD
2023-05-13 00:25:00+00:00,26746.1328125,26746.1328125,26729.095703125,26729.095703125,26729.095703125,0,BTC-USD
2023-05-13 00:30:00+00:00,26722.9609375,26729.822265625,26710.873046875,26729.822265625,26729.822265625,0,BTC-USD
2023-05-13 00:35:00+00:00,26721.373046875,26746.732421875,26721.373046875,26740.357421875,26740.357421875,16476160,BTC-USD
2023-05-13 00:40:00+00:00,26741.89453125,26741.89453125,26722.4140625,26722.4140625,26722.4140625,2408448,BTC-USD
2023-05-13 00:45:00+00:00,26727.146484375,26744.9140625,26720.94140625,26744.9140625,26744.9140625,2050048,BTC-USD
2023-05-13 00:50:00+00:00,26747.20703125,26774.525390625,26747.20703125,26774.525390625,26774.525390625,0,BTC-USD
2023-05-13 00:55:00+00:00,26778.396484375,26830.71484375,26778.396484375,26823.298828125,26823.298828125,26195968,BTC-USD
2023-05-13 01:00:00+00:00,26833.505859375,26889.44140625,26816.560546875,26816.560546875,26816.560546875,43638784,BTC-USD
2023-05-13 01:05:00+00:00,26815.015625,26845.421875,26815.015625,26845.421875,26845.421875,11251712,BTC-USD
2023-05-13 01:10:00+00:00,26842.63671875,26858.00390625,26842.63671875,26858.00390625,26858.00390625,27691008,BTC-USD
2023-05-13 01:15:00+00:00,26873.75,26943.16796875,26872.3046875,26943.16796875,26943.16796875,38289408,BTC-USD
2023-05-13 01:20:00+00:00,26955.857421875,26984.71484375,26943.91796875,26970.478515625,26970.478515625,21927936,BTC-USD
2023-05-13 01:25:00+00:00,26988.2734375,26989.07421875,26941.009765625,26941.009765625,26941.009765625,61763584,BTC-USD
2023-05-13 01:30:00+00:00,26935.880859375,26944.3515625,26902.96875,26902.96875,26902.96875,18984960,BTC-USD
2023-05-13 01:35:00+00:00,26889.349609375,26898.171875,26889.349609375,26893.693359375,26893.693359375,0,BTC-USD
2023-05-13 01:40:00+00:00,26891.03125,26895.9609375,26891.03125,26895.9609375,26895.9609375,5369856,BTC-USD
2023-05-13 01:45:00+00:00,26897.515625,26897.515625,26860.8046875,26860.8046875,26860.8046875,2635776,BTC-USD
2023-05-13 01:50:00+00:00,26857.11328125,26859.9453125,26846.712890625,26846.712890625,26846.712890625,0,BTC-USD
2023-05-13 01:55:00+00:00,26848.41796875,26867.279296875,26848.41796875,26851.537109375,26851.537109375,0,BTC-USD
